Names	Values
Kenneth	0.07284863792170305
Emma	0.04264838535089302
Izzy	0.2968789464189067
Elizabeth	0.055745985928197725
Dorothea	0.028504419989175536
Jasmine	0.04488544109687895
Others	0.06220458235612485
Barb Sanders	0.15980515966083347
Alta	0.01522641169042035
Detlev von Uslar	0.20725239040230922
Bay Area girls	0.013999639184557098
